Date,Open,High,Low,Close,Adj Close,Volume
23-09-2022,2485,2495.949951,2436.100098,2439.5,2439.5,4397194
26-09-2022,2394.050049,2417.800049,2375.149902,2377.350098,2377.350098,5759298
27-09-2022,2394,2426,2360.100098,2396.25,2396.25,7455448
28-09-2022,2360.350098,2378,2327.100098,2332.449951,2332.449951,7844140
29-09-2022,2360,2367.5,2313,2325.300049,2325.300049,6771046
30-09-2022,2311,2402,2311,2377.75,2377.75,8589908
03-10-2022,2391.5,2416.949951,2363,2369.5,2369.5,5470030
04-10-2022,2397.800049,2418,2390.149902,2413.199951,2413.199951,4129893
06-10-2022,2429,2450,2418.149902,2422.100098,2422.100098,6162021
07-10-2022,2414.649902,2443.899902,2414.649902,2432.350098,2432.350098,3560167
10-10-2022,2405,2417.600098,2388,2405.800049,2405.800049,2921076
11-10-2022,2414,2414,2351.100098,2357.899902,2357.899902,4252803
12-10-2022,2352,2381.699951,2343.100098,2375.25,2375.25,3422992
13-10-2022,2371.399902,2394,2360.100098,2382.800049,2382.800049,3382098
14-10-2022,2415,2416.350098,2369.100098,2370.699951,2370.699951,4202459
17-10-2022,2355,2414,2343.600098,2408.75,2408.75,7720595
18-10-2022,2422,2463,2420.149902,2451.25,2451.25,5729899
19-10-2022,2454.5,2527.850098,2441.699951,2493.899902,2493.899902,8882553
20-10-2022,2485,2519,2485,2500.600098,2500.600098,4022919
21-10-2022,2507.699951,2516.800049,2467,2471.600098,2471.600098,3804352
24-10-2022,2460,2502.5,2455.300049,2479.850098,2479.850098,1555270
25-10-2022,2499,2499,2438,2441.550049,2441.550049,5645639
27-10-2022,2458,2468.449951,2432.800049,2451.149902,2451.149902,5774775
28-10-2022,2465,2535,2459.449951,2526.149902,2526.149902,8126824
31-10-2022,2541,2560.949951,2532.199951,2549.600098,2549.600098,5731802
01-11-2022,2600,2600,2508,2529.850098,2529.850098,6443999
02-11-2022,2532.300049,2550.199951,2515,2545.649902,2545.649902,4145144
03-11-2022,2529.850098,2559.550049,2525.050049,2555.149902,2555.149902,3089026
04-11-2022,2553.899902,2600,2551.100098,2592.75,2592.75,5803737
07-11-2022,2591,2610.300049,2574,2606.600098,2606.600098,5440967
09-11-2022,2610.300049,2621.949951,2590.050049,2604,2604,5193814
10-11-2022,2590,2596.550049,2563,2572.5,2572.5,2753420
11-11-2022,2600,2636,2588,2631.800049,2631.800049,5681124
14-11-2022,2630.75,2642,2605.149902,2619.050049,2619.050049,4173395
15-11-2022,2622.300049,2626.399902,2590,2607.300049,2607.300049,3270388
16-11-2022,2610,2615.949951,2581.350098,2592.350098,2592.350098,4484007
17-11-2022,2584.949951,2613,2580,2599.050049,2599.050049,3074259
18-11-2022,2606.75,2609,2571.100098,2597.649902,2597.649902,2447425
21-11-2022,2588,2588,2543.100098,2550.899902,2550.899902,2949108
22-11-2022,2545,2568.5,2536.5,2565.050049,2565.050049,3051201
23-11-2022,2575,2577.899902,2552.25,2557.050049,2557.050049,2959787
24-11-2022,2566,2594,2548.199951,2579.100098,2579.100098,4333225
25-11-2022,2589,2624.899902,2582.100098,2617.600098,2617.600098,3391988
28-11-2022,2608.899902,2721.050049,2502,2707.550049,2707.550049,14549929
29-11-2022,2703.949951,2731.649902,2694,2712.199951,2712.199951,5103687
30-11-2022,2712.5,2745.449951,2698.199951,2731.350098,2731.350098,12075137
01-12-2022,2741.800049,2755,2716,2723.300049,2723.300049,4377696
02-12-2022,2730,2748,2700.600098,2722.149902,2722.149902,5348595
05-12-2022,2712,2716.75,2678,2682.449951,2682.449951,6843367
06-12-2022,2665.100098,2697,2661,2690.199951,2690.199951,3966243
07-12-2022,2685,2695,2642.149902,2650.5,2650.5,3905263
08-12-2022,2660,2665,2640.100098,2649.25,2649.25,3579858
09-12-2022,2646,2660,2601.850098,2609.100098,2609.100098,5840633
12-12-2022,2585.5,2623,2585,2613.100098,2613.100098,4374946
13-12-2022,2613.100098,2633,2606.699951,2625,2625,3845839
14-12-2022,2637.649902,2638.949951,2611,2615.5,2615.5,3354618
15-12-2022,2602.5,2615,2571,2578.350098,2578.350098,4009765
16-12-2022,2571,2618.800049,2558.149902,2565.600098,2565.600098,7308934
19-12-2022,2581,2604,2566.699951,2599.300049,2599.300049,3567363
20-12-2022,2583.899902,2626,2566,2621.800049,2621.800049,3446291
